id,name,weight_kg,volume_L,value,positive_combo_id,positive_combo_multiplier,negative_combo_id,negative_combo_multiplier
1,Sleeping Bag,1.8,3.79,244.46,48,1.47,5,0.64
2,Tent,4.3,2.69,239.55,25,1.12,7,0.55
3,Camping Stove,2.3,4.1,172.75,23,1.26,24,0.33
4,Water Bottle,2.4,2.8,249.13,13,1.29,33,0.7
5,First Aid Kit,0.1,1.65,115.89,2,1.82,41,0.89
6,Flashlight,0.3,0.26,59.53,31,1.77,27,0.58
7,Multi-tool,0.1,0.77,22.49,3,1.31,33,1.0
8,Hiking Boots,2.4,4,177.3,1,1.81,10,0.38
9,Rain Jacket,0.8,0.9,84.97,36,1.8,39,0.18
10,Map,0.1,0.26,78.24,48,1.35,49,0.78
11,Compass,0.1,0.4,25.36,8,1.13,10,1.0
12,Sunscreen,0.4,0.6,92.88,1,1.73,2,0.67
13,Bug Spray,0.4,0.8,63.31,14,1.6,28,0.64
14,Portable Charger,0.56,0.33,70.52,33,1.43,27,0.71
15,Headlamp,0.09,0.22,15.82,28,1.43,24,1.0
16,Food,3,6.8,216.19,5,1.48,9,0.7
17,Trail Mix,1.4,0.8,51.28,32,1.56,6,0.27
18,Cookware Set,4,2.3,73.74,16,2.11,40,0.31
19,Toiletry Kit,2,1.65,26.58,9,1.96,33,1.0
20,Travel Towel,1,0.8,67.2,29,1.65,43,0.33
21,Notebook,0.8,0.4,22.88,22,1.49,36,1.0
22,Pen,0.1,0.1,16.88,21,1.6,9,1.0
23,Thermal Blanket,2,1.2,17.49,2,1.57,4,1.0
24,Gloves,0.74,1.4,61.88,42,1.49,6,0.21
25,Hat,0.81,0.9,71.46,37,1.33,48,0.16
26,Scarf,0.59,0.77,97.54,29,1.77,31,0.25
27,Sunglasses,0.2,0.26,25.75,36,1.75,18,1.0
28,Extra Socks,0.92,0.6,10.17,17,1.99,15,1.0
29,Climbing Rope,1,0.77,89.18,40,1.84,26,0.12
30,Water Filter,0.73,2.3,279.57,4,1.8,24,0.48
31,Energy Bars,0.81,0.33,74.65,10,1.98,26,0.79
32,Lighter,0.07,0.1,137.44,49,1.42,2,0.64
33,Firestarter,0.19,0.26,99.43,10,1.7,46,0.4
34,Book,1.2,1.65,80.99,38,1.87,45,0.49
35,Camera,1.8,2.4,121.59,39,1.42,7,0.23
36,Binoculars,2.2,9.39,23.54,7,1.16,21,1.0
37,Travel Pillow,0.3,9.63,82.44,38,1.48,16,0.21
38,Hammock,4,5.24,72.2,25,1.95,12,0.51
39,Power Bank,1,1.59,62.66,29,1.18,15,0.65
40,Hand Sanitizer,0.8,3.13,53.64,32,1.83,39,0.35
41,Face Mask,0.1,7.92,89.18,29,1.79,48,0.5
42,Passport,0.01,6.79,10.91,38,1.15,25,1.0
43,ID Card,0.01,0.26,8.96,6,1.83,45,1.0
44,Cash,0.2,9.62,150,30,1.62,40,0.69
45,Travel Guide,0.4,0.81,15.9,7,1.98,19,1.0
46,Walking Stick,1.3,0.4,166.3,43,1.7,1,0.8
47,Mini Tripod,0.5,5.4,87.5,35,1.65,23,0.33
48,Insect Net,0.22,0.59,49.74,4,1.49,29,0.71
49,Laundry Bag,0.1,0.1,40.0,23,1.57,43,0.18
50,Foldable Chair,3.2,4.41,146.26,49,1.85,20,0.42
